#MLRT	#	0.8712	#MLRT
peoples	N	0.8042	peoples
bestfriends	N	0.4374	bestfriends
on	P	0.8343	on
snapchat	!	0.4061	snapchat
			
Enright	^	0.6108	Enright
,	,	0.9918	,
Lonergan	^	0.6618	Lonergan
to	P	0.9511	to
miss	V	0.6716	miss
for	P	0.9910	for
Cats	N	0.7598	Cats
http://t.co/adbUSqgFAW	U	0.9900	http://t.co/adbUSqgFAW
			
Im	L	0.9787	Im
up	T	0.8440	up
next	A	0.4810	next
I	O	0.9937	I
sware	V	0.6841	sware
to	P	0.9511	to
god	^	0.7896	god
my	D	0.8420	my
time	N	0.9685	time
coming	V	0.9764	coming
			
@GabBensonXxx	@	0.9990	@GabBensonXxx
@Precious_xoxox	@	0.9990	@Precious_xoxox
NAAA	!	0.9946	NAAA
CUZZ	P	0.3651	CUZZ
,	,	0.9918	,
if	P	0.9711	if
u	O	0.9843	u
buy	V	0.8020	buy
my	D	0.8420	my
crepes	N	0.8773	crepes
it's	L	0.9926	it's
beef	N	0.9556	beef
			
,	,	0.9918	,
'	,	0.9122	'
sonn	N	0.9417	sonn
ifucking	!	0.3269	ifucking
hate	V	0.9340	hate
her	O	0.5274	her
w	G	0.3597	w
.	,	0.9927	.
a	D	0.8948	a
passion	N	0.9870	passion
moe	!	0.5328	moe
			
im	L	0.9789	im
so	R	0.5317	so
hungry	A	0.7804	hungry
but	&	0.9901	but
idk	L	0.6434	idk
what	O	0.9490	what
i	O	0.9651	i
wanna	V	0.9079	wanna
eat	V	0.8267	eat
			
RT	~	0.7475	RT
@asdfghjkllyss	@	0.9990	@asdfghjkllyss
:	,	0.7421	:
decisions	N	0.9821	decisions
are	V	0.9783	are
so	R	0.5317	so
hard	A	0.7109	hard
cuz	P	0.4479	cuz
i	O	0.9651	i
gotta	V	0.9603	gotta
do	V	0.9687	do
whats	L	0.9327	whats
best	A	0.9236	best
for	P	0.9910	for
myselff	O	0.9249	myselff
			
MOLAA	!	0.6250	MOLAA
!!	,	0.9305	!!
HE	O	0.8688	HE
VISTO	!	0.2841	VISTO
LAS	^	0.6238	LAS
CONVERSACIONES	!	0.1959	CONVERSACIONES
DE	^	0.3001	DE
WHATSAPP	!	0.5689	WHATSAPP
DE	^	0.3001	DE
MI	!	0.2873	MI
AMIGO	N	0.7109	AMIGO
CON	N	0.5178	CON
ESTA	!	0.4742	ESTA
APP	N	0.8856	APP
http://t.co/F3sP3OOqe1	U	0.9940	http://t.co/F3sP3OOqe1
			
He	O	0.9792	He
looks	V	0.9461	looks
like	P	0.7012	like
some	D	0.7045	some
bad	A	0.9370	bad
boy	N	0.8695	boy
wtf	!	0.9909	wtf
wtf	!	0.9909	wtf
wtf	!	0.9909	wtf
wtf	!	0.9909	wtf
wtf	!	0.9909	wtf
wtf	!	0.9909	wtf
I	O	0.9937	I
didn't	V	0.9947	didn't
ask	V	0.8878	ask
for	P	0.9910	for
this	O	0.5028	this
			
Calum	^	0.7990	Calum
Hood	N	0.7752	Hood
,	,	0.9918	,
Ashton	^	0.9844	Ashton
Irwin	^	0.9643	Irwin
,	,	0.9918	,
Luke	^	0.9822	Luke
Hemmings	^	0.7806	Hemmings
,	,	0.9918	,
Michael	^	0.9949	Michael
Clifford	^	0.9835	Clifford
from	P	0.9750	from
5SOS	^	0.3047	5SOS
follow	V	0.9508	follow
me	O	0.9918	me
so	R	0.5317	so
I	O	0.9937	I
can	V	0.9763	can
send	V	0.8822	send
you	O	0.9627	you
uncomfortable	A	0.9958	uncomfortable
dm's	N	0.5983	dm's
haha	!	0.9993	haha
971	$	0.9672	971
			
#Job	#	0.9319	#Job
#Omaha	#	0.9470	#Omaha
Receptionist	N	0.9565	Receptionist
Florence	^	0.9678	Florence
Clinic	^	0.5101	Clinic
FT	V	0.7497	FT
:	,	0.7421	:
Omaha	^	0.9735	Omaha
Alegent	!	0.3041	Alegent
creighton	^	0.9759	creighton
health	N	0.8865	health
is	V	0.9892	is
the	D	0.9792	the
largest	A	0.9246	largest
not-for-profit	A	0.7440	not-for-profit
,	,	0.9918	,
fai	G	0.4893	fai
...	~	0.6291	...
http://t.co/2MeHL04RR8	U	0.9940	http://t.co/2MeHL04RR8
			
RT	~	0.7475	RT
@Michael_Heaver	@	0.9990	@Michael_Heaver
:	,	0.7421	:
UKIP	^	0.6207	UKIP
has	V	0.9464	has
had	V	0.9560	had
two	$	0.9238	two
Councillors	N	0.9881	Councillors
elected	V	0.9316	elected
in	P	0.8576	in
Northern	A	0.6374	Northern
Ireland	^	0.9522	Ireland
today	N	0.9895	today
.	,	0.9927	.
Marvellous	A	0.9837	Marvellous
.	,	0.9927	.
			
@TheAmazingColtz	@	0.9990	@TheAmazingColtz
lmao	!	0.9991	lmao
nigga	N	0.5857	nigga
I	O	0.9937	I
got	V	0.7838	got
a	D	0.8948	a
few	A	0.4890	few
baddies	N	0.8691	baddies
for	P	0.9910	for
you	O	0.9627	you
			
@hazelnewts	@	0.9986	@hazelnewts
U	O	0.9513	U
DUN	V	0.7014	DUN
.	,	0.9927	.
IM	L	0.9779	IM
DA	D	0.4731	DA
KING	N	0.4894	KING
OF	P	0.8227	OF
SWEG	!	0.4757	SWEG
			
tidaman12	^	0.2450	tidaman12
and	&	0.9981	and
I	O	0.9937	I
circa	^	0.5048	circa
1990	$	0.9654	1990
and	&	0.9981	and
mr	^	0.8512	mr
cam	^	0.4426	cam
2014	$	0.9070	2014
!	,	0.9924	!
Hoppy	!	0.5446	Hoppy
tubbies	^	0.3310	tubbies
at	P	0.9712	at
Gmas/Ggma	!	0.6345	Gmas/Ggma
.	,	0.9927	.
http://t.co/wup7cRmmKO	U	0.9940	http://t.co/wup7cRmmKO
			
Days	N	0.8965	Days
of	P	0.8953	of
future	N	0.4781	future
past	A	0.8547	past
aja	!	0.6747	aja
belom	!	0.3067	belom
nonton	!	0.3825	nonton
			
@rxsekai	@	0.9990	@rxsekai
Are	V	0.9844	Are
you	O	0.9627	you
PiqaIsa	!	0.4392	PiqaIsa
in	P	0.8576	in
watty	N	0.5157	watty
??	,	0.9829	??
Omg	!	0.9972	Omg
so	R	0.5317	so
you're	L	0.9569	you're
the	D	0.9792	the
writer	N	0.9908	writer
of	P	0.8953	of
Snow	N	0.5219	Snow
fall	V	0.4054	fall
??	,	0.9829	??
hahahaha	!	0.9987	hahahaha
nice	A	0.9471	nice
meeting	N	0.7079	meeting
you	O	0.9627	you
^_^	E	0.9806	^_^
ghad	!	0.9768	ghad
.	,	0.9927	.
			
Only	R	0.8217	Only
@wizkhalifa	@	0.9990	@wizkhalifa
can	V	0.9763	can
take	V	0.9216	take
a	D	0.8948	a
selfie	N	0.7932	selfie
in	P	0.8576	in
jail	N	0.8705	jail
.	,	0.9927	.
Lol	!	0.9992	Lol
			
@flyboiidotcom	@	0.9990	@flyboiidotcom
Nigga	N	0.6222	Nigga
gon	V	0.9396	gon
look	V	0.8183	look
like	P	0.7012	like
50	$	0.9565	50
on	P	0.8343	on
"	,	0.9803	"
All	D	0.7254	All
things	N	0.9817	things
fall	V	0.4054	fall
apart	!	0.3643	apart
"	,	0.9803	"
Lmaoo	!	0.9979	Lmaoo
			
RT	~	0.7475	RT
@TheFakeESPN	@	0.9990	@TheFakeESPN
:	,	0.7421	:
Yao	!	0.6815	Yao
Ming	^	0.8067	Ming
assembling	V	0.9738	assembling
group	N	0.9274	group
of	P	0.8953	of
Chinese	A	0.7862	Chinese
investors	N	0.9792	investors
to	P	0.9511	to
make	V	0.8257	make
a	D	0.8948	a
bid	N	0.8250	bid
on	P	0.8343	on
Ros	^	0.9532	Ros
Angeres	^	0.3753	Angeres
Crippers	^	0.3450	Crippers
.	,	0.9927	.
			
oh	!	0.9988	oh
gosh	!	0.9988	gosh
i	O	0.9651	i
sound	V	0.5929	sound
rlly	R	0.7895	rlly
depressed	A	0.8772	depressed
but	&	0.9901	but
im	L	0.9789	im
laughinf	!	0.2890	laughinf
for	P	0.9910	for
no	!	0.9253	no
damn	!	0.9889	damn
reason	N	0.8972	reason
.	,	0.9927	.
			
RT	~	0.7475	RT
@GG_World1	@	0.9989	@GG_World1
:	,	0.7421	:
140524	$	0.4694	140524
Hyoyeon	^	0.8677	Hyoyeon
Yuri	^	0.9812	Yuri
2nd	$	0.6612	2nd
day	N	0.9236	day
Kobe	^	0.9956	Kobe
#GG3rdJPNTOUR	#	0.9411	#GG3rdJPNTOUR
by	P	0.9649	by
rebecca	^	0.9262	rebecca
http://t.co/3w1UhL76uZ	U	0.9940	http://t.co/3w1UhL76uZ
			
RT	~	0.7475	RT
@hedious_	@	0.9986	@hedious_
:	,	0.7421	:
Almarhum	!	0.3088	Almarhum
Sultan	N	0.5089	Sultan
Azlan	^	0.9783	Azlan
Shah	^	0.6849	Shah
looks	V	0.9461	looks
like	P	0.7012	like
Taylor	^	0.9422	Taylor
Lautner	^	0.8920	Lautner
at	P	0.9712	at
the	D	0.9792	the
age	N	0.9020	age
of	P	0.8953	of
21	$	0.9665	21
.	,	0.9927	.
So	P	0.5666	So
handsome	A	0.9599	handsome
.	,	0.9927	.
Al-Fatihah	!	0.8973	Al-Fatihah
.	,	0.9927	.
http://t.co/vPiAJoNLI9	U	0.9940	http://t.co/vPiAJoNLI9
			
RT	~	0.7475	RT
@tacklelouis	@	0.9989	@tacklelouis
:	,	0.7421	:
NIALLS	L	0.4531	NIALLS
IN	P	0.8539	IN
THE	D	0.9569	THE
MIDDLE	N	0.6182	MIDDLE
THEYRE	L	0.8404	THEYRE
DOING	V	0.9825	DOING
IT	O	0.9675	IT
RIGHT	!	0.8819	RIGHT
http://t.co/SN5yzBFKKg	U	0.9940	http://t.co/SN5yzBFKKg
			
RT	~	0.7475	RT
@ahlade	@	0.9987	@ahlade
:	,	0.7421	:
On	P	0.7816	On
a	D	0.8948	a
scale	N	0.9687	scale
of	P	0.8953	of
1	$	0.9900	1
to	P	0.9511	to
Bhuth	^	0.2948	Bhuth
Jolokia	^	0.4228	Jolokia
on	P	0.8343	on
the	D	0.9792	the
Scoville	^	0.8461	Scoville
scale	N	0.9687	scale
,	,	0.9918	,
how	R	0.9435	how
much	A	0.5576	much
burn	V	0.6348	burn
is	V	0.9892	is
LK	!	0.1990	LK
Advani	^	0.9649	Advani
feeling	V	0.9609	feeling
right	!	0.8610	right
now	R	0.9613	now
?	,	0.9909	?
			
RT	~	0.7475	RT
@stephfunkii	@	0.9989	@stephfunkii
:	,	0.7421	:
@J0W_	@	0.9976	@J0W_
@_jackss	@	0.9986	@_jackss
lol	!	0.9995	lol
we	O	0.9885	we
missed	V	0.9844	missed
u	O	0.9843	u
guys	N	0.9762	guys
on	P	0.8343	on
Saturday	^	0.9267	Saturday
me	O	0.9918	me
and	&	0.9981	and
Jacks	^	0.9079	Jacks
were	V	0.9019	were
so	R	0.5317	so
funny	A	0.9910	funny
and	&	0.9981	and
no	!	0.9253	no
one	$	0.7703	one
got	V	0.7838	got
us	O	0.9183	us
hahaha	!	0.9987	hahaha
			
RT	~	0.7475	RT
@b2bmhyuk	@	0.9989	@b2bmhyuk
:	,	0.7421	:
#Openfollow	#	0.8871	#Openfollow
for	P	0.9910	for
rp/parody	G	0.3600	rp/parody
,	,	0.9918	,
yadong	!	0.7836	yadong
ato	!	0.5026	ato
kaga	!	0.5908	kaga
terserah	^	0.5205	terserah
.	,	0.9927	.
Retweet	V	0.5569	Retweet
,	,	0.9918	,
thanks	N	0.7675	thanks
.	,	0.9927	.
			
@_sunshineirwin	@	0.9990	@_sunshineirwin
AWWWW	!	0.9964	AWWWW
TYSM	!	0.8833	TYSM
HSGDFHJFG	!	0.5798	HSGDFHJFG
ILY	!	0.9059	ILY
YOURS	O	0.8661	YOURS
IS	V	0.9860	IS
BEAUTIFUL	A	0.9495	BEAUTIFUL
TOO	P	0.6107	TOO
			
@kingbizzl	@	0.9990	@kingbizzl
ilysm	!	0.8676	ilysm
justin	^	0.9969	justin
please	V	0.8246	please
please	V	0.8246	please
follow	V	0.9508	follow
me	O	0.9918	me
its	L	0.9816	its
my	D	0.8420	my
biggest	A	0.9504	biggest
dream	V	0.5374	dream
bae	N	0.9032	bae
x14	G	0.2902	x14
			
"	,	0.9803	"
@nikolamirotic12	@	0.9989	@nikolamirotic12
:	,	0.7421	:
@MaccabiElectra	@	0.9990	@MaccabiElectra
We're	L	0.9109	We're
the	D	0.9792	the
kings	N	0.7606	kings
of	P	0.8953	of
Europe	^	0.9659	Europe
also	R	0.9524	also
in	P	0.8576	in
basketball	N	0.9554	basketball
.	,	0.9927	.
8	$	0.9739	8
european	^	0.5393	european
cups	N	0.9495	cups
.	,	0.9927	.
Just	R	0.9985	Just
a	D	0.8948	a
reminder	N	0.9594	reminder
!!	,	0.9305	!!
"	,	0.9803	"
JAJAJA	!	0.9958	JAJAJA
ENORME	!	0.3168	ENORME
MIROTIC	^	0.9087	MIROTIC
!	,	0.9924	!
			
@denisespeaks	@	0.9990	@denisespeaks
@jccaylen	@	0.9979	@jccaylen
that's	L	0.9901	that's
stupid	A	0.9906	stupid
!	,	0.9924	!
I'm	L	0.9907	I'm
still	R	0.9849	still
on	P	0.8343	on
omegle	^	0.7974	omegle
lol	!	0.9995	lol
I	O	0.9937	I
have	V	0.9703	have
no	!	0.9253	no
life	N	0.9415	life
			
RT	~	0.7475	RT
@Planet_EXO	@	0.9990	@Planet_EXO
:	,	0.7421	:
140526	$	0.4723	140526
Mei	!	0.4369	Mei
Li	^	0.3414	Li
Shuo	!	0.5577	Shuo
Weibo	^	0.5785	Weibo
update	N	0.8916	update
.	,	0.9927	.
EXO-M's	^	0.4921	EXO-M's
interview	N	0.9450	interview
with	P	0.9671	with
Mei	!	0.4369	Mei
Li	^	0.3414	Li
Shuo	!	0.5577	Shuo
will	V	0.9478	will
be	V	0.9569	be
revealed	V	0.9304	revealed
tmr	N	0.6853	tmr
!	,	0.9924	!
http://t.co/NWyYGVxoNT	U	0.9900	http://t.co/NWyYGVxoNT
			
RT	~	0.7475	RT
@_celebRT	@	0.9986	@_celebRT
:	,	0.7421	:
Demi	^	0.8353	Demi
Lovato	^	0.5714	Lovato
vs	V	0.3841	vs
Ariana	^	0.9698	Ariana
Grande	^	0.4683	Grande
RT	~	0.7475	RT
for	P	0.9910	for
Demi	^	0.8353	Demi
FAV	!	0.3982	FAV
for	P	0.9910	for
Ariana	^	0.9698	Ariana
http://t.co/0U1OgI87kU	U	0.9940	http://t.co/0U1OgI87kU
			
RT	~	0.7475	RT
@Olla_Ramelan	@	0.9990	@Olla_Ramelan
:	,	0.7421	:
Desain	N	0.4376	Desain
Kamar	^	0.7583	Kamar
Cewek	^	0.3662	Cewek
Cakep	!	0.5289	Cakep
-	,	0.8444	-
New	A	0.9490	New
Amazing	A	0.9182	Amazing
Girl	N	0.9121	Girl
Teen	^	0.6483	Teen
Room	N	0.8644	Room
Ideas	N	0.8387	Ideas
http://t.co/7yOBT0dxLR	U	0.9940	http://t.co/7yOBT0dxLR
			
RT	~	0.7475	RT
@SampahRemajaKL	@	0.9990	@SampahRemajaKL
:	,	0.7421	:
Padahal	^	0.3015	Padahal
Abby	^	0.9781	Abby
amik	!	0.5525	amik
gambar	!	0.3937	gambar
google	^	0.7770	google
ye	!	0.4849	ye
Abby	^	0.9781	Abby
http://t.co/pzqSUcfwaL	U	0.9900	http://t.co/pzqSUcfwaL
			
"	,	0.9803	"
@TvvitterGod	@	0.9990	@TvvitterGod
:	,	0.7421	:
Lmao	!	0.9988	Lmao
her	O	0.5274	her
titys	N	0.3357	titys
really	R	0.9938	really
do	V	0.9687	do
look	V	0.8183	look
like	P	0.7012	like
Krabby	A	0.4514	Krabby
Patty	N	0.5365	Patty
buns	N	0.9380	buns
http://t.co/oTvFtXsTvr	U	0.9900	http://t.co/oTvFtXsTvr
"	,	0.9803	"
like	P	0.7012	like
they're	L	0.8765	they're
Allergic	A	0.9294	Allergic
to	P	0.9511	to
her	O	0.5274	her
face	N	0.9357	face
			
RT	~	0.7475	RT
@TellMeWHYra	@	0.9980	@TellMeWHYra
:	,	0.7421	:
Niners	^	0.8218	Niners
signed	V	0.8755	signed
Kevin	^	0.9954	Kevin
Greene	^	0.8212	Greene
,	,	0.9918	,
thats	L	0.9523	thats
dope	N	0.3992	dope
#IrishPride	#	0.9500	#IrishPride
			
Drunk	A	0.4503	Drunk
beff	!	0.5875	beff
is	V	0.9892	is
not	R	0.9628	not
good	A	0.9644	good
beefff	!	0.4062	beefff
let	V	0.8916	let
me	O	0.9918	me
tell	V	0.7941	tell
u	O	0.9843	u
now	R	0.9613	now
			
RT	~	0.7475	RT
@_FameCA	@	0.9980	@_FameCA
:	,	0.7421	:
If	P	0.9686	If
bae	N	0.9032	bae
doesn't	V	0.9705	doesn't
lurk	V	0.7938	lurk
your	D	0.5467	your
tweets	N	0.6999	tweets
,	,	0.9918	,
bae	N	0.9032	bae
is	V	0.9892	is
not	R	0.9628	not
bae	N	0.9032	bae
.	,	0.9927	.
			
RT	~	0.7475	RT
@SexyRed___	@	0.9990	@SexyRed___
:	,	0.7421	:
Tired	A	0.6235	Tired
Of	P	0.8772	Of
Playing	V	0.9926	Playing
W	G	0.3762	W
.	,	0.9927	.
These	D	0.6282	These
Young	A	0.4137	Young
Minded	V	0.5497	Minded
Ass	N	0.3835	Ass
Niggas	N	0.9068	Niggas
..	,	0.9687	..
			
RT	~	0.7475	RT
@LP94Kaeun	@	0.9989	@LP94Kaeun
:	,	0.7421	:
@LJ87Yeon	@	0.9989	@LJ87Yeon
E	N	0.3363	E
A	D	0.7889	A
SENHORA	!	0.3660	SENHORA
?	,	0.9909	?
MAS	^	0.5839	MAS
OLHA	!	0.7000	OLHA
Q	N	0.6182	Q
LINDA	^	0.9420	LINDA
http://t.co/QyioYG0ssd	U	0.9940	http://t.co/QyioYG0ssd
			
"	,	0.9803	"
@Jas3man	@	0.9987	@Jas3man
:	,	0.7421	:
Eh	!	0.9424	Eh
!	,	0.9924	!
Laylow	^	0.2851	Laylow
on	P	0.8343	on
d	!	0.3287	d
beat	V	0.8551	beat
,	,	0.9918	,
Lolz	!	0.9968	Lolz
"	,	0.9803	"
@pre_cutie	@	0.9987	@pre_cutie
"	,	0.9803	"
@Da_Choker	@	0.9990	@Da_Choker
:	,	0.7421	:
He	O	0.9792	He
gon	V	0.9396	gon
lay	V	0.6078	lay
low	A	0.8747	low
trust	N	0.6152	trust
me	O	0.9918	me
"	,	0.9803	"
@pre_cutie	@	0.9987	@pre_cutie
:	,	0.7421	:
My	D	0.9244	My
bf	N	0.4280	bf
is	V	0.9892	is
the	D	0.9792	the
http://t.co/nZdFJELc4d	U	0.9940	http://t.co/nZdFJELc4d
			
I	O	0.9937	I
looove	V	0.6954	looove
MJ	^	0.9477	MJ
ft	V	0.6816	ft
.	,	0.9927	.
JT	^	0.8169	JT
-	,	0.8444	-
Love	N	0.6118	Love
never	R	0.9752	never
felt	V	0.9254	felt
so	R	0.5317	so
good	A	0.9644	good
,	,	0.9918	,
but	&	0.9901	but
the	D	0.9792	the
video	N	0.9802	video
kinda	R	0.5253	kinda
sucks	V	0.9032	sucks
.....	,	0.9659	.....
			
RT	~	0.7475	RT
@TRVLX	@	0.9983	@TRVLX
:	,	0.7421	:
Club	N	0.8346	Club
lacura	!	0.5479	lacura
$250	$	0.9114	$250
cash	N	0.9125	cash
this	O	0.5028	this
Friday	^	0.8713	Friday
for	P	0.9910	for
lookin	V	0.7789	lookin
good	A	0.9644	good
im	L	0.9789	im
there	R	0.4143	there
			
TBT	^	0.6136	TBT
Live	V	0.5448	Live
Update	N	0.9302	Update
:	,	0.7421	:
PM	N	0.8052	PM
Sheikh	G	0.2542	Sheikh
hasina	^	0.9084	hasina
returns	V	0.6231	returns
home	N	0.8327	home
Prime	A	0.5116	Prime
Minister	N	0.7787	Minister
Sheikh	G	0.2542	Sheikh
Hasina	^	0.9409	Hasina
returned	V	0.9667	returned
home	N	0.8327	home
this	O	0.5028	this
morning	N	0.7689	morning
after	P	0.8092	after
...	~	0.6291	...
http://t.co/1ZMEk6dEAU	U	0.9940	http://t.co/1ZMEk6dEAU
			
Macama	^	0.4220	Macama
qaqaa	!	0.6362	qaqaa
"	,	0.9803	"
@emmysq	@	0.9986	@emmysq
:	,	0.7421	:
Amiin	!	0.9712	Amiin
.	,	0.9927	.
Terimakassih	^	0.3800	Terimakassih
.	,	0.9927	.
"	,	0.9803	"
@rizalogyc	@	0.9990	@rizalogyc
:	,	0.7421	:
happy	A	0.9389	happy
'	,	0.9122	'
18th	$	0.5752	18th
'	,	0.9122	'
birthday	N	0.9593	birthday
@emmysq	@	0.9986	@emmysq
wish	V	0.7214	wish
you	O	0.9627	you
all	D	0.7257	all
the	D	0.9792	the
best	A	0.9236	best
,	,	0.9918	,
success	N	0.9900	success
for	P	0.9910	for
your	D	0.5467	your
study	N	0.9395	study
;p	E	0.9781	;p
masuk	!	0.4717	masuk
			
I	O	0.9937	I
dont	V	0.9006	dont
know	V	0.9285	know
if	P	0.9711	if
ashton	^	0.9759	ashton
is	V	0.9892	is
foolin	V	0.9145	foolin
or	&	0.9822	or
not	R	0.9628	not
			
@MyXOLO	@	0.9980	@MyXOLO
#MissionMillion	#	0.9759	#MissionMillion
Friends	N	0.8468	Friends
Join	V	0.9101	Join
It	O	0.9748	It
To	P	0.9549	To
Win	V	0.9210	Win
A	D	0.7889	A
Grand	A	0.5027	Grand
Prize	N	0.7474	Prize
!	,	0.9924	!
Pass	N	0.7026	Pass
the	D	0.9792	the
XOLO	!	0.6574	XOLO
LFC	^	0.9356	LFC
#Football	#	0.8310	#Football
to	P	0.9511	to
@jaihoteri	@	0.9990	@jaihoteri
#4905	#	0.9231	#4905
			
U	O	0.9513	U
know	V	0.9285	know
i	O	0.9651	i
b	V	0.3261	b
kiddn	V	0.3752	kiddn
nana	!	0.6112	nana
:D	E	0.9898	:D
"	,	0.9803	"
@trinityhotnez	@	0.9990	@trinityhotnez
:	,	0.7421	:
@DjPride1	@	0.9989	@DjPride1
@Questionnier	@	0.9986	@Questionnier
ah	!	0.9960	ah
..	,	0.9687	..
u	O	0.9843	u
too	R	0.9370	too
much	A	0.5576	much
!	,	0.9924	!
:p	E	0.9831	:p
"	,	0.9803	"
			
Video	N	0.9601	Video
:	,	0.7421	:
SAINTS	^	0.5184	SAINTS
LAST	A	0.8145	LAST
NIGHT	N	0.6561	NIGHT
JUST	R	0.9984	JUST
COULDNT	V	0.8115	COULDNT
HELP	V	0.6447	HELP
IT	O	0.9675	IT
LMBO	!	0.9977	LMBO
DROPPIN	V	0.8412	DROPPIN
ALL	D	0.5358	ALL
OVER	P	0.6884	OVER
THE	D	0.9569	THE
PLACE	N	0.9534	PLACE
AT	P	0.6038	AT
...	~	0.6291	...
http://t.co/Ex3g0a7jr1	U	0.9940	http://t.co/Ex3g0a7jr1
			
RT	~	0.7475	RT
@skylinsun	@	0.9990	@skylinsun
:	,	0.7421	:
PTDR	!	0.9750	PTDR
JASSUME	!	0.3523	JASSUME
PLUS	&	0.1449	PLUS
CE	!	0.3040	CE
FANDOM	N	0.5767	FANDOM
DE	^	0.3001	DE
MALADES	N	0.2888	MALADES
#LRT	#	0.8672	#LRT
			
If	P	0.9686	If
you	O	0.9627	you
don't	V	0.9973	don't
talk	V	0.7768	talk
that	O	0.7135	that
fufu	!	0.4567	fufu
shit	N	0.6894	shit
in	P	0.8576	in
rap	N	0.6641	rap
bout	P	0.5620	bout
what	O	0.9490	what
you	O	0.9627	you
really	R	0.9938	really
doin	V	0.9669	doin
I	O	0.9937	I
can	V	0.9763	can
fuckz	!	0.3265	fuckz
with	P	0.9671	with
it	O	0.9694	it
			
Kurang	!	0.3454	Kurang
H	N	0.2898	H
kakak	^	0.3310	kakak
RT	~	0.7475	RT
@jiyyggy	@	0.9980	@jiyyggy
:	,	0.7421	:
@nrlkha	@	0.9989	@nrlkha
somebody	N	0.9588	somebody
that	O	0.7135	that
i	O	0.9651	i
used	V	0.7169	used
to	P	0.9511	to
know	V	0.9285	know
:)	E	0.9959	:)
			
RT	~	0.7475	RT
@Country_Voices	@	0.9990	@Country_Voices
:	,	0.7421	:
Beer	N	0.9558	Beer
gets	V	0.9882	gets
a	D	0.8948	a
barefoot	A	0.5724	barefoot
country	N	0.9752	country
girl	N	0.8631	girl
swayin	N	0.2246	swayin
,	,	0.9918	,
To	P	0.9549	To
a	D	0.8948	a
song	N	0.9799	song
that's	L	0.9901	that's
playin	V	0.9885	playin
and	&	0.9981	and
the	D	0.9792	the
world	N	0.7022	world
starts	V	0.8848	starts
fadin	V	0.5754	fadin
'	,	0.9122	'
.	,	0.9927	.
#FrankieBallard	#	0.9471	#FrankieBallard
			
RT	~	0.7475	RT
@GeniusFootball	@	0.9990	@GeniusFootball
:	,	0.7421	:
BREAKING	V	0.5894	BREAKING
:	,	0.7421	:
Carlo	^	0.9947	Carlo
Ancelotti	^	0.9541	Ancelotti
reacts	V	0.9716	reacts
to	P	0.9511	to
Iker	^	0.7843	Iker
Casillas	^	0.8446	Casillas
'	,	0.9122	'
mistake	N	0.9519	mistake
.	,	0.9927	.
http://t.co/eN5AwJtbpB	U	0.9940	http://t.co/eN5AwJtbpB
			
Eh	!	0.9424	Eh
everybody	N	0.9116	everybody
busy	A	0.8817	busy
asf	N	0.3275	asf
,	,	0.9918	,
boutta	P	0.2474	boutta
be	V	0.9569	be
schleep	N	0.3490	schleep
			
@adams012	@	0.9987	@adams012
I	O	0.9937	I
want	V	0.9638	want
the	D	0.9792	the
black	A	0.8061	black
one	$	0.7703	one
...	~	0.6291	...
Seeing	V	0.9853	Seeing
as	P	0.7377	as
it's	L	0.9926	it's
my	D	0.8420	my
favourite	!	0.3852	favourite
colour	N	0.7817	colour
			
@APharaohsLegacy	@	0.9990	@APharaohsLegacy
naw	!	0.9873	naw
a	D	0.8948	a
nigga	N	0.5857	nigga
representin	V	0.7446	representin
...	~	0.6291	...
Bangin	V	0.5339	Bangin
,	,	0.9918	,
set	V	0.5168	set
trippin	V	0.9121	trippin
...	~	0.6291	...
It	O	0.9748	It
is	V	0.9892	is
what	O	0.9490	what
it	O	0.9694	it
is	V	0.9892	is
!!!	,	0.9690	!!!
			
RT	~	0.7475	RT
@dabriefcase	@	0.9989	@dabriefcase
:	,	0.7421	:
I	O	0.9937	I
knw	V	0.3115	knw
im	L	0.9789	im
hawt	A	0.4030	hawt
joe	^	0.9841	joe
but	&	0.9901	but
control	N	0.9692	control
yurself	O	0.5093	yurself
http://t.co/hh0CmJEXuO	U	0.9940	http://t.co/hh0CmJEXuO
			
RT	~	0.7475	RT
@CuteEmergency	@	0.9990	@CuteEmergency
:	,	0.7421	:
When	R	0.9713	When
bae	N	0.9032	bae
hasn't	V	0.9010	hasn't
texted	V	0.8833	texted
you	O	0.9627	you
all	D	0.7257	all
day	N	0.9236	day
.	,	0.9927	.
http://t.co/RrVmwYFzjG	U	0.9900	http://t.co/RrVmwYFzjG
			
TAMARA	^	0.9648	TAMARA
DEJA	!	0.6160	DEJA
DE	^	0.3001	DE
RT	~	0.7475	RT
LAS	^	0.6238	LAS
COSAS	^	0.5189	COSAS
NENAAAAA	N	0.6843	NENAAAAA
a	D	0.8948	a
			
RT	~	0.7475	RT
@MixTapeFM	@	0.9990	@MixTapeFM
:	,	0.7421	:
Chinx	^	0.4026	Chinx
Drugz	N	0.7044	Drugz
-	,	0.8444	-
Floor	N	0.9344	Floor
Up	T	0.6573	Up
Feat	V	0.4380	Feat
Zack	^	0.9926	Zack
(	,	0.9082	(
Prod	V	0.8342	Prod
by	P	0.9649	by
Young	A	0.4137	Young
Stokes	^	0.5598	Stokes
:	,	0.7421	:
#NowPlaying	#	0.9784	#NowPlaying
on	P	0.8343	on
